"sitecode","countrycode","perclogged","site_ha","area_ha_2001","area_ha_2002","area_ha_2003","area_ha_2004","area_ha_2005","area_ha_2006","area_ha_2007","area_ha_2008","area_ha_2009","area_ha_2010","area_ha_2011","area_ha_2012","area_ha_2013","area_ha_2014","area_ha_2015","area_ha_2016","area_ha_2017","area_ha_2018","area_ha_2019","area_ha_2020","area_ha_2021","area_ha_2022","area_ha_2023","most_disturbed_year","most_disturbed_year_ha","sitename"
"ES1110013","ES",0.0874399339263998,2074.33,14.2154555614293,1.20737168490887,3.6,3.06,4.68,7.49560660070398,2.23046814993024,7.14475994808599,8.03504327120486,6.04071623235941,8.86532959726173,14.0406501713628,9.9509570076142,8.67151610830799,8.36042705717438,9.13841265026014,9.24083808196709,3.74665559040383,4.96833330329508,14.5603851308805,8.54174218322762,10.3768051842693,13.2078046269016,2020,14.5603851308805,"Xubia - Castro"
"ES1120001","ES",0.0330911933353605,102634.51,41.31,31.505495562125,20.88,170.699531854313,52.1798945783079,161.662428414209,12.3050219352543,119.107153976876,236.565175868045,141.234368016087,66.5949641397581,168.848917972923,90.9089373989473,206.799251906569,173.414103606694,201.582619953894,380.640209558165,322.986752234995,137.881576626719,206.408467056784,141.936060208603,119.581543956638,191.26593846408,2017,380.640209558165,"Ancares - Courel"
"ES1120015","ES",0.0607160915242419,22963.9,18.3811263012886,21.4287747340871,12.0684020908177,53.9381694548903,42.5454149008038,12.8332524490356,87.1727400622889,19.0299206673447,131.496431821281,44.9118217223167,9.25836586886086,66.6200667122972,43.9912962855937,77.5203389653779,48.238392828776,65.6866350853583,74.0336642565223,112.084735299863,56.5089688681718,104.434008614314,135.376037588973,88.3179015215824,68.4017880536942,2021,135.376037588973,"Serra do Xistral"
"ES1130001","ES",0.0343580146810078,33921.45,2.43,14.6922063203249,2.52,14.5535540749133,3.06,7.83048647304531,2.34,26.9054135722015,13.6013302195072,12.4090529367328,5.43390689313412,31.8664878475294,35.55,59.8279814318526,87.1980940312939,152.905765996277,154.511888568877,132.546586182201,91.6816647695471,98.2502046532437,110.420771353701,63.2644806194137,41.6738011572766,2017,154.511888568877,"Baixa Limia"
"ES1130002","ES",0.0171642547147315,46985.65,5.66216449230909,12.4171001243591,1.62,24.021851377096,11.2400313824415,12.8132871580124,12.6,14.5665960735083,23.0410922288708,16.9190761077404,5.86131564572453,51.7057055758685,17.19,55.4450653446838,46.2037176284194,94.9134979410237,125.51980963179,115.356732369309,30.0332683745343,53.4751543894038,34.5740065303445,19.9776310032606,21.316561158523,2017,125.51980963179,"Macizo Central"
"ES1140001","ES",0.0193973690241126,1633.2,0.483120663911104,0.0790511029399931,0.0165466050803661,0.356911634802818,1.4696677098982e-05,0.72,6.68491246746853,1.87959303639829,2.55968283031965,1.07760919488966,0.464158772528172,1.3598524167281,0.0932771342690103,0.211255937218666,0.495161929484457,0.697151927067025,2.81183592752321,1.90442601079296,0.33150820681316,0.397433568316628,3.13507387442834,4.07072253758895,1.85048261493444,2007,6.68491246746853,"Sistema fluvial Ulla - Deza"
"ES1140008","ES",0.0910491897856431,1077.12,3.24,11.7051477706432,0,19.1936642289162,1.88474835276604,10.00912165666,4.22987894922495,3.33,6.12929712108336,3.10773200690746,1.99356155991554,9.7715858289809,1.44,1.16462212264538,0.271287038968876,1.57026373922825,1.26,0.0760167646408081,4.5,1.82366895480081,1.72044563770294,1.97377219280228,7.6760893760249,2004,19.1936642289162,"Brañas de Xestoso"
"ES1140013","ES",0.0971913742057068,10699.06,32.7456974208355,19.347631880343,0.269996282458305,29.7359432763001,15.0732754743844,21.9067439286411,15.3340848496556,89.4276330194715,55.8521681043506,73.6925124277174,41.9700418272614,54.7134292215854,28.9690488678217,88.074664080888,58.2628348929808,50.5739072549343,103.796313220061,50.2029917328525,19.041611264348,79.0677234371449,65.0858821155829,26.0152826609463,20.6969268687442,2017,103.796313220061,"Serra do Candán"
"ES1140014","ES",0.0457515134560501,5458.33,1.496610411359,1.44,0.36,9.16959573977161,4.74492511803866,9.54,1.08,8.00894904039334,5.14304664051393,5.18497049376368,9.09,5.11319476519944,6.77606993302703,9.80999021530151,13.3578731423244,31.2729809706844,23.2095691875473,36.5351433348656,8.39427481502295,22.4327876588912,25.7837535596278,7.0873693100363,4.69575410619378,2018,36.5351433348656,"Serra do Cando"
"ES1200056","ES",0.0257025820691477,52384.94,16.7088942912966,10.08,2.52,20.7958215138875,5.76,15.1560394058435,4.68,14.7599567896128,21.8428714384697,46.7632141430676,31.1993257158995,178.976661781927,34.7195096875168,61.1899906767022,94.0167828691006,297.522310385216,111.71835817277,221.050089968238,14.3357086614936,38.9094195588431,59.2713924711943,35.5355351936258,8.916336812675,2016,297.522310385216,"Fuentes del Narcea, Degaña e Ibias"
"ES1300011","ES",0.0173744222130049,530.44,0,0.0213147613406181,0,0.136941774822772,0.0833117834944278,0.17202169418335,5.73192309821025e-05,0,0.143984818663448,0.739078978544567,0,0,0.727171755507588,0.115116973207332,0.470137598309666,0.00538185305893421,0.139284891933203,2.33399946480431,1.12027730304857,0.269937622882426,0.917646707405859,0.218279124498367,1.60214409372988,2018,2.33399946480431,"Río Asón"
